fold,representation,model,class_weight,prob_decile,n_obs,avg_pred,avg_actual
10,persistence_image,pi_24h_10x10_standard,standard,1,2981,0.13314669344885854,0.33143240523314327
10,persistence_image,pi_24h_10x10_standard,standard,2,445,0.2235175703327994,0.7932584269662921
10,persistence_image,pi_72h_10x10_balanced,balanced,3,16113,0.36090247780403606,0.0008688636504685657
10,persistence_image,pi_72h_10x10_balanced,balanced,4,1776,0.44205763387591696,0.27871621621621623
10,persistence_image,pi_72h_10x10_balanced,balanced,5,1018,0.5504660235396222,0.12573673870333987
10,persistence_image,pi_72h_10x10_balanced,balanced,6,1044,0.6431514008384884,0.31992337164750956
10,persistence_image,pi_72h_10x10_balanced,balanced,7,531,0.7453792234882554,0.647834274952919
10,persistence_image,pi_72h_10x10_balanced,balanced,8,444,0.8342839309203179,0.8243243243243243
10,persistence_image,pi_72h_10x10_standard,standard,0,17642,0.07985642490346426,0.021879605486906248
10,persistence_image,pi_72h_10x10_standard,standard,1,2847,0.13400108592239066,0.3287671232876712
10,persistence_image,pi_72h_10x10_standard,standard,2,437,0.2225886217290041,0.8215102974828375
11,persistence_image,pi_168h_10x10_balanced,balanced,3,13832,0.37699440965497044,0.0
11,persistence_image,pi_168h_10x10_balanced,balanced,4,3277,0.4346314657300733,0.11565456209948123
11,persistence_image,pi_168h_10x10_balanced,balanced,5,531,0.5638277617719623,0.2580037664783427
11,persistence_image,pi_168h_10x10_balanced,balanced,6,1355,0.6497063886132762,0.36309963099631
11,persistence_image,pi_168h_10x10_balanced,balanced,7,449,0.7656300636044908,0.6681514476614699
11,persistence_image,pi_168h_10x10_balanced,balanced,8,372,0.8645216191242988,1.0
11,persistence_image,pi_168h_10x10_standard,standard,0,17002,0.08200120830604771,0.019174214798259027
11,persistence_image,pi_168h_10x10_standard,standard,1,2461,0.1406604170901239,0.40674522551808207
11,persistence_image,pi_168h_10x10_standard,standard,2,353,0.2448568502773982,1.0
11,persistence_image,pi_24h_10x10_balanced,balanced,3,15321,0.3627953972658712,0.0009137784739899484
11,persistence_image,pi_24h_10x10_balanced,balanced,4,1779,0.4381980473712122,0.20123664980326025
11,persistence_image,pi_24h_10x10_balanced,balanced,5,874,0.5616385918488681,0.32723112128146453
11,persistence_image,pi_24h_10x10_balanced,balanced,6,1044,0.6486541513341642,0.33524904214559387
11,persistence_image,pi_24h_10x10_balanced,balanced,7,462,0.7635064794774056,0.7272727272727273
11,persistence_image,pi_24h_10x10_balanced,balanced,8,336,0.8652625547737989,1.0
11,persistence_image,pi_24h_10x10_standard,standard,0,16991,0.08005497855803036,0.018951209463833794
