market_id,usable_points,timestamp_min,timestamp_max,min_price,max_price,unique_transactions,observed_days,question,market_family,asset,is_core,is_satellite,resolved_outcome,start_date,close_date,volume_clob
516878,4000,2025-12-14 05:42:37+00:00,2026-01-01 04:55:07+00:00,0.000999999001000007,0.022000000002993847,4000,17.96701388888889,"Will Ethereum hit $5,000 by December 31?",eth_price,ETH,True,False,No,,2026-01-01 07:18:23+00:00,18467737.400303
516926,4000,2025-12-25 23:37:05+00:00,2026-01-05 04:21:09+00:00,0.000999999001000007,0.5510001481700992,4000,10.197268518518518,MicroStrategy sells any Bitcoin in 2025?,microstrategy,MSTR,False,True,No,,2026-01-05 04:22:25+00:00,17976157.529867
516937,4000,2025-10-13 17:56:31+00:00,2026-01-01 06:47:25+00:00,0.001,0.1238095187981859,4000,79.53534722222223,US national Bitcoin reserve in 2025?,crypto_policy,,False,True,No,,2026-01-01 08:31:59+00:00,5526758.797978
517077,4000,2025-01-27 07:11:20+00:00,2025-02-01 07:24:09+00:00,0.000999999001000007,0.0040000000000000036,4000,5.008900462962963,"Will Bitcoin reach $200,000 by January 31, 2025?",btc_price,BTC,True,False,No,,2025-02-01 07:43:01+00:00,3926310.991195
517081,4000,2025-01-22 20:05:55+00:00,2025-02-01 07:38:43+00:00,0.000999999001000007,0.21999999999999997,4000,9.481111111111112,"Will Bitcoin reach $120,000 by January 31, 2025?",btc_price,BTC,True,False,No,,2025-02-01 07:47:45+00:00,5387416.836463
517082,4000,2025-01-30 07:32:42+00:00,2025-02-01 07:22:55+00:00,0.000999999001000007,0.26,4000,1.9932060185185185,"Will Bitcoin reach $110,000 by January 31, 2025?",btc_price,BTC,True,False,No,,2025-02-01 07:43:13+00:00,8061597.738611
517192,4000,2025-01-10 07:05:50+00:00,2025-01-10 18:52:30+00:00,0.001,0.11957832266860441,4000,0.49074074074074076,"Bitcoin above $97,000 on January 10?",btc_price,BTC,True,False,No,,2025-01-10 19:02:51+00:00,8846664.201678
519027,4000,2025-01-23 20:17:10+00:00,2025-01-24 19:07:17+00:00,0.45999999999999996,0.999000000999,4000,0.9514699074074074,"Bitcoin above $103,000 on January 24?",btc_price,BTC,True,False,Yes,,2025-01-24 19:04:49+00:00,6959870.453636
519040,4000,2025-01-24 10:00:38+00:00,2025-01-24 19:06:29+00:00,0.001,0.719999985599996,4000,0.3790625,"Ethereum above $3,400 on January 24?",eth_price,ETH,True,False,No,,2025-01-24 19:04:53+00:00,6209816.038245
519776,4000,2025-04-30 14:38:56+00:00,2025-05-07 20:17:08+00:00,0.001,0.008000000000000007,4000,7.234861111111111,Fed decreases interest rates by 50+ bps after May 2025 meeting?,crypto_policy,,False,True,No,,2025-05-07 22:33:12+00:00,22089574.500042
519777,4000,2025-05-05 02:15:50+00:00,2025-05-07 22:20:08+00:00,0.001,0.027066215550221095,4000,2.8363194444444444,Fed decreases interest rates by 25 bps after May 2025 meeting?,crypto_policy,,False,True,No,,2025-05-07 22:33:14+00:00,21653201.774564
519778,4000,2025-05-03 21:25:40+00:00,2025-05-07 21:18:36+00:00,0.9739999999584,0.999000000000999,4000,3.9950925925925924,No change in Fed interest rates after May 2025 meeting?,crypto_policy,,False,True,Yes,,2025-05-07 21:17:32+00:00,20629387.641397
519784,4000,2025-04-25 08:20:26+00:00,2025-05-07 22:34:12+00:00,0.001,0.0070000000038888885,4000,12.592893518518519,Fed increases interest rates by 25+ bps after May 2025 meeting?,crypto_policy,,False,True,No,,2025-05-07 22:33:14+00:00,24000661.535559
519870,4000,2025-01-31 13:37:52+00:00,2025-01-31 19:25:29+00:00,0.15,0.999,4000,0.24140046296296297,"Bitcoin above $105,000 on January 31?",btc_price,BTC,True,False,Yes,,2025-01-31 19:23:10+00:00,8422456.623766
519871,4000,2025-01-30 19:50:00+00:00,2025-01-31 19:21:00+00:00,0.020000000000000018,0.999,4000,0.9798611111111111,"Ethereum above $3,400 on January 31?",eth_price,ETH,True,False,Yes,,2025-01-31 19:18:29+00:00,4931220.50609
520930,4000,2025-10-23 08:20:23+00:00,2026-01-01 06:32:25+00:00,0.000999999001000007,0.04898852414428805,4000,69.92502314814814,Jerome Powell out as Fed Chair in 2025?,crypto_policy,,False,True,No,,2026-01-01 08:35:53+00:00,11760101.336012
