fold,model,model_type,feature_group,slice_type,slice_value,n_obs,brier,log_loss,avg_pred,avg_actual,auc
1,xgb_pca_controls_dynamic_topology,xgb,pca_controls_dynamic,broad_family,crypto_policy,336,0.0015537496860245875,0.04021446433994626,0.03941654941687981,0.0,
1,xgb_pca_controls_dynamic_topology,xgb,pca_controls_dynamic,broad_family,macro_fed_rates,9129,0.055090046232638475,0.18179067521569559,0.11914486036207357,0.1407602147004053,0.973109040690349
1,xgb_pca_controls_dynamic_topology,xgb,pca_controls_dynamic,Y_i,0,13565,0.01700884315992551,0.07799444506830293,0.06303052456951311,0.0,
1,xgb_pca_controls_dynamic_topology,xgb,pca_controls_dynamic,Y_i,1,1285,0.31274281752277616,0.8554129777398058,0.4659418210735117,1.0,
1,xgb_pca_controls_dynamic_topology,xgb,pca_controls_dynamic,active_count_bucket,26-50,1740,0.026400572541102226,0.10289517424677096,0.08993116566836405,0.1,0.9999999999999999
1,xgb_pca_controls_dynamic_topology,xgb,pca_controls_dynamic,active_count_bucket,51-100,13110,0.044749235832161637,0.15088960492431716,0.0989522561099889,0.08474446987032799,0.9609913487390076
1,xgb_pca_controls_dynamic_topology,xgb,pca_controls_dynamic,prob_bucket,0-5%,5606,0.0007420367232971169,0.027203031667311545,0.026824879873367215,0.0,
1,xgb_pca_controls_dynamic_topology,xgb,pca_controls_dynamic,prob_bucket,5-10%,2545,0.0003897410974928,0.019018217714534887,0.018820367151530997,0.0,
1,xgb_pca_controls_dynamic_topology,xgb,pca_controls_dynamic,prob_bucket,10-25%,2758,0.06585016403572748,0.2188658741306522,0.08402610752809904,0.0830311820159536,0.8657554895957978
1,xgb_pca_controls_dynamic_topology,xgb,pca_controls_dynamic,prob_bucket,25-50%,2093,0.05442537857994237,0.1973700239582935,0.14457353509382317,0.022933588150979456,0.8927108801955991
1,xgb_pca_controls_dynamic_topology,xgb,pca_controls_dynamic,prob_bucket,50-75%,1493,0.20373894482962854,0.5644129219134568,0.4118938097469534,0.5679839249832552,0.6976744186046512
1,xgb_pca_controls_dynamic_topology,xgb,pca_controls_dynamic,prob_bucket,75-90%,354,0.07834919196108454,0.27358293146243085,0.29977232266196424,0.4519774011299435,1.0
1,xgb_pca_controls_dynamic_topology,xgb,pca_controls_dynamic,prob_bucket,90-95%,1,0.002800654018991544,0.05437298520140924,0.05292120575904846,0.0,
