fold,split,representation,model,pca_setting,tda_window,tda_group,c_value,n_components,train_start,train_end,test_start,test_end,status,eval_group_type,eval_group,n_obs,brier,log_loss,avg_pred,avg_actual,ece
2,design_cv,tda_only,tda_only_24h_h0_h1_C0.01,none,24,h0_h1,0.01,0,2024-08-06 17:00:00+00:00,2025-06-05 22:00:00+00:00,2025-06-05 23:00:00+00:00,2025-06-19 22:00:00+00:00,ok,broad_family,crypto_microstrategy,336,0.0001635136795234,0.0125817122217581,0.0124991937924339,0.0,0.0124991937924339
2,design_cv,tda_only,tda_only_24h_h0_h1_C0.01,none,24,h0_h1,0.01,0,2024-08-06 17:00:00+00:00,2025-06-05 22:00:00+00:00,2025-06-05 23:00:00+00:00,2025-06-19 22:00:00+00:00,ok,broad_family,crypto_policy,336,0.0110100510352046,0.1095873622508929,0.1036480552578747,0.0,0.1036480552578747
2,design_cv,tda_only,tda_only_24h_h0_h1_C0.01,none,24,h0_h1,0.01,0,2024-08-06 17:00:00+00:00,2025-06-05 22:00:00+00:00,2025-06-05 23:00:00+00:00,2025-06-19 22:00:00+00:00,ok,broad_family,macro_fed_rates,4966,0.0637303745162665,0.2025985791514009,0.1436388431557507,0.1991542488924688,0.0877092865950522
2,design_cv,tda_only,tda_only_24h_h0_h1_C0.01,none,24,h0_h1,0.01,0,2024-08-06 17:00:00+00:00,2025-06-05 22:00:00+00:00,2025-06-05 23:00:00+00:00,2025-06-19 22:00:00+00:00,ok,active_market_count_bucket,26-50,11014,0.0331812230075005,0.1192529362825923,0.089862338068331,0.0897948066097693,0.0394173686837065
2,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C0.01,fixed_2,168,h0_h1,0.01,2,2024-08-06 17:00:00+00:00,2025-06-05 22:00:00+00:00,2025-06-05 23:00:00+00:00,2025-06-19 22:00:00+00:00,ok,overall,overall,11014,0.0325319930257023,0.1171014115644189,0.0846148683487477,0.0897948066097693,0.0390286196049837
2,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C0.01,fixed_2,168,h0_h1,0.01,2,2024-08-06 17:00:00+00:00,2025-06-05 22:00:00+00:00,2025-06-05 23:00:00+00:00,2025-06-19 22:00:00+00:00,ok,broad_family,crypto_btc,3696,0.0096402048087003,0.0542742235133592,0.0482933679002891,0.0,0.0482933679002891
2,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C0.01,fixed_2,168,h0_h1,0.01,2,2024-08-06 17:00:00+00:00,2025-06-05 22:00:00+00:00,2025-06-05 23:00:00+00:00,2025-06-19 22:00:00+00:00,ok,broad_family,crypto_eth,1680,0.0001990833928059,0.0124336640615945,0.0123327844801432,0.0,0.0123327844801432
2,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C0.01,fixed_2,168,h0_h1,0.01,2,2024-08-06 17:00:00+00:00,2025-06-05 22:00:00+00:00,2025-06-05 23:00:00+00:00,2025-06-19 22:00:00+00:00,ok,broad_family,crypto_microstrategy,336,8.774158505517714e-05,0.0090225298696553,0.0089783473415354,0.0,0.0089783473415354
2,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C0.01,fixed_2,168,h0_h1,0.01,2,2024-08-06 17:00:00+00:00,2025-06-05 22:00:00+00:00,2025-06-05 23:00:00+00:00,2025-06-19 22:00:00+00:00,ok,broad_family,crypto_policy,336,0.0079261092043763,0.0915564557490065,0.0873234761738569,0.0,0.0873234761738568
2,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C0.01,fixed_2,168,h0_h1,0.01,2,2024-08-06 17:00:00+00:00,2025-06-05 22:00:00+00:00,2025-06-05 23:00:00+00:00,2025-06-19 22:00:00+00:00,ok,broad_family,macro_fed_rates,4966,0.0643677124943549,0.2083113818110724,0.1410349137345603,0.1991542488924688,0.0886207484076325
