fold,model,model_type,feature_group,category,slice_type,slice_value,n_obs,brier,log_loss,avg_pred,avg_actual,auc
1,xgb_pca,xgb,pca,xgboost,active_count_bucket,51-100,13110,0.057804541228634515,0.19237485228139356,0.09769179296958978,0.08474446987032799,0.9087727382622419
1,xgb_pca,xgb,pca,xgboost,prob_bucket,0-5%,5606,0.00028396703812579174,0.016863936774550215,0.016720293835170975,0.0,
1,xgb_pca,xgb,pca,xgboost,prob_bucket,5-10%,2545,0.0002876623899544427,0.016958808040085104,0.016813278655303836,0.0,
1,xgb_pca,xgb,pca,xgboost,prob_bucket,10-25%,2758,0.07617780047419348,0.28266873746344107,0.06863800819187903,0.0830311820159536,0.5934012615235322
1,xgb_pca,xgb,pca,xgboost,prob_bucket,25-50%,2093,0.05084747789581762,0.22631890673379695,0.1747475678997352,0.022933588150979456,0.7170741646291768
1,xgb_pca,xgb,pca,xgboost,prob_bucket,50-75%,1493,0.2952314058853667,0.7908325557129295,0.36702536064470204,0.5679839249832552,0.4711852786309785
1,xgb_pca,xgb,pca,xgboost,prob_bucket,75-90%,354,0.28510155958949757,0.7696811711144365,0.5249648043664835,0.4519774011299435,0.4524484536082474
1,xgb_pca,xgb,pca,xgboost,prob_bucket,90-95%,1,0.5201519499568263,1.2773165763244554,0.7212156057357788,0.0,
1,xgb_pca_controls,xgb,pca_controls,xgboost,overall,overall,14850,0.04386493242591692,0.14814418597638584,0.0989657679476747,0.08653198653198653,0.9669758376228593
1,xgb_pca_controls,xgb,pca_controls,xgboost,broad_domain,crypto,5721,0.024730176919952745,0.09325185255653771,0.0666432414277789,0.0,
1,xgb_pca_controls,xgb,pca_controls,xgboost,broad_domain,macro,9129,0.05585638124283237,0.18254434366013558,0.11922178440296267,0.1407602147004053,0.9741320040398669
1,xgb_pca_controls,xgb,pca_controls,xgboost,broad_family,crypto_btc,3112,0.04370902813041907,0.14140145124139167,0.09379738885645963,0.0,
1,xgb_pca_controls,xgb,pca_controls,xgboost,broad_family,crypto_eth,1937,0.002435525070121678,0.03740201664468016,0.03549014816996312,0.0,
1,xgb_pca_controls,xgb,pca_controls,xgboost,broad_family,crypto_microstrategy,336,0.0003241285523465611,0.01816537204445858,0.01800133510758834,0.0,
1,xgb_pca_controls,xgb,pca_controls,xgboost,broad_family,crypto_policy,336,0.0018819266749148453,0.04434899096743388,0.043379894302537046,0.0,
1,xgb_pca_controls,xgb,pca_controls,xgboost,broad_family,macro_fed_rates,9129,0.05585638124283237,0.18254434366013558,0.11922178440296267,0.1407602147004053,0.9741320040398669
1,xgb_pca_controls,xgb,pca_controls,xgboost,Y_i,0,13565,0.018215077733854716,0.08124582786467402,0.06434541207913637,0.0,
1,xgb_pca_controls,xgb,pca_controls,xgboost,Y_i,1,1285,0.3146355774825892,0.8543513671323169,0.4644327931280034,1.0,
1,xgb_pca_controls,xgb,pca_controls,xgboost,active_count_bucket,26-50,1740,0.026813877038305334,0.10349471306170156,0.08824768355116248,0.1,1.0
1,xgb_pca_controls,xgb,pca_controls,xgboost,active_count_bucket,51-100,13110,0.046128001562030146,0.15407020297650412,0.10038830546483193,0.08474446987032799,0.9615421747191804
1,xgb_pca_controls,xgb,pca_controls,xgboost,prob_bucket,0-5%,5606,0.0007737100322387416,0.02765071215659206,0.027256172991653786,0.0,
1,xgb_pca_controls,xgb,pca_controls,xgboost,prob_bucket,5-10%,2545,0.0003775514050637288,0.01877390015644529,0.01858228563398767,0.0,
1,xgb_pca_controls,xgb,pca_controls,xgboost,prob_bucket,10-25%,2758,0.06462881863116024,0.2154118981997721,0.08739485299455149,0.0830311820159536,0.865857364614144
1,xgb_pca_controls,xgb,pca_controls,xgboost,prob_bucket,25-50%,2093,0.05684098203982646,0.203350151411321,0.14799866701462483,0.022933588150979456,0.8948757131214343
1,xgb_pca_controls,xgb,pca_controls,xgboost,prob_bucket,50-75%,1493,0.2139650036433808,0.5882209868326139,0.41274664994910587,0.5679839249832552,0.6976744186046512
1,xgb_pca_controls,xgb,pca_controls,xgboost,prob_bucket,75-90%,354,0.08313489334194926,0.28015290168621115,0.28949137927574964,0.4519774011299435,1.0
1,xgb_pca_controls,xgb,pca_controls,xgboost,prob_bucket,90-95%,1,0.0019998815345457915,0.045750824443989355,0.044720035046339035,0.0,
1,xgb_pca_topology,xgb,pca_topology,xgboost,overall,overall,14850,0.0580623410391032,0.19192200685827218,0.09490435780813096,0.08653198653198653,0.934551553910341
1,xgb_pca_topology,xgb,pca_topology,xgboost,broad_domain,crypto,5721,0.02348469907552992,0.11069102593863432,0.092588287366014,0.0,
1,xgb_pca_topology,xgb,pca_topology,xgboost,broad_domain,macro,9129,0.07973160269685355,0.24282817860120653,0.09635580254461372,0.1407602147004053,0.9479681612454537
1,xgb_pca_topology,xgb,pca_topology,xgboost,broad_family,crypto_btc,3112,0.03155019623958221,0.12606851210322284,0.09996189005316204,0.0,
1,xgb_pca_topology,xgb,pca_topology,xgboost,broad_family,crypto_eth,1937,0.017594777134385137,0.10799142831106374,0.09703750327752618,0.0,
1,xgb_pca_topology,xgb,pca_topology,xgboost,broad_family,crypto_microstrategy,336,0.00023454958073224275,0.015430778386051936,0.015312291579210154,0.0,
1,xgb_pca_topology,xgb,pca_topology,xgboost,broad_family,crypto_policy,336,0.005987680788978559,0.07908932009956413,0.07592147725102093,0.0,
1,xgb_pca_topology,xgb,pca_topology,xgboost,broad_family,macro_fed_rates,9129,0.07973160269685355,0.24282817860120653,0.09635580254461372,0.1407602147004053,0.9479681612454537
1,xgb_pca_topology,xgb,pca_topology,xgboost,Y_i,0,13565,0.0159191440907217,0.08670966604191069,0.0751860703056396,0.0,
1,xgb_pca_topology,xgb,pca_topology,xgboost,Y_i,1,1285,0.5029436380078154,1.3025876902621192,0.30305888696867206,1.0,
1,xgb_pca_topology,xgb,pca_topology,xgboost,active_count_bucket,26-50,1740,0.05045173201507128,0.168273967793167,0.08490184912693569,0.1,1.0
1,xgb_pca_topology,xgb,pca_topology,xgboost,active_count_bucket,51-100,13110,0.05907244475396329,0.1950606481987209,0.09623192188938799,0.08474446987032799,0.9244500873122565
1,xgb_pca_topology,xgb,pca_topology,xgboost,prob_bucket,0-5%,5606,0.0008629213361524333,0.028728376962015773,0.028287315199764986,0.0,
1,xgb_pca_topology,xgb,pca_topology,xgboost,prob_bucket,5-10%,2545,0.0006124565350409397,0.023327884126336292,0.02301525310530878,0.0,
1,xgb_pca_topology,xgb,pca_topology,xgboost,prob_bucket,10-25%,2758,0.0701106179455868,0.24458522854686304,0.08809421066447358,0.0830311820159536,0.796078157132719
1,xgb_pca_topology,xgb,pca_topology,xgboost,prob_bucket,25-50%,2093,0.05255976573970528,0.2268820548426944,0.17698920648091157,0.022933588150979456,0.8966381418092909
1,xgb_pca_topology,xgb,pca_topology,xgboost,prob_bucket,50-75%,1493,0.3378350217392167,0.8888938304135244,0.3103473766171046,0.5679839249832552,0.6373738481790259
1,xgb_pca_topology,xgb,pca_topology,xgboost,prob_bucket,75-90%,354,0.1355823860085708,0.43151808644456535,0.3252998466713954,0.4519774011299435,1.0
1,xgb_pca_topology,xgb,pca_topology,xgboost,prob_bucket,90-95%,1,0.07299944771677147,0.31496296797983697,0.27018409967422485,0.0,
1,xgb_pca_controls_topology,xgb,pca_controls_topology,xgboost,overall,overall,14850,0.0440371408191339,0.14830589439786937,0.09673441740938209,0.08653198653198653,0.9619601543799059
1,xgb_pca_controls_topology,xgb,pca_controls_topology,xgboost,broad_domain,crypto,5721,0.023217860780489534,0.08816270285854032,0.06389128658194482,0.0,
1,xgb_pca_controls_topology,xgb,pca_controls_topology,xgboost,broad_domain,macro,9129,0.05708425453378879,0.18599668186599305,0.11731668835513392,0.1407602147004053,0.9658802881877545
1,xgb_pca_controls_topology,xgb,pca_controls_topology,xgboost,broad_family,crypto_btc,3112,0.041068178695756845,0.13368792030160773,0.09026188876510988,0.0,
1,xgb_pca_controls_topology,xgb,pca_controls_topology,xgboost,broad_family,crypto_eth,1937,0.0022720994849370272,0.035498502919794034,0.03374561943233044,0.0,
1,xgb_pca_controls_topology,xgb,pca_controls_topology,xgboost,broad_family,crypto_microstrategy,336,0.00033546882960666576,0.018483135088859348,0.018313323003461675,0.0,
1,xgb_pca_controls_topology,xgb,pca_controls_topology,xgboost,broad_family,crypto_policy,336,0.0015221285562931153,0.03979488550478618,0.03901342657350358,0.0,
1,xgb_pca_controls_topology,xgb,pca_controls_topology,xgboost,broad_family,macro_fed_rates,9129,0.05708425453378879,0.18599668186599305,0.11731668835513392,0.1407602147004053,0.9658802881877545
1,xgb_pca_controls_topology,xgb,pca_controls_topology,xgboost,Y_i,0,13565,0.01744887459106979,0.07853357607666787,0.06276337359453474,0.0,
1,xgb_pca_controls_topology,xgb,pca_controls_topology,xgboost,Y_i,1,1285,0.32471405240177187,0.8848518072594244,0.45534703168829593,1.0,
1,xgb_pca_controls_topology,xgb,pca_controls_topology,xgboost,active_count_bucket,26-50,1740,0.0276553571187023,0.10544419846745469,0.08870082895389234,0.1,1.0
1,xgb_pca_controls_topology,xgb,pca_controls_topology,xgboost,active_count_bucket,51-100,13110,0.04621138213406533,0.15399463207284428,0.09780066027075143,0.08474446987032799,0.9562737713891398
1,xgb_pca_controls_topology,xgb,pca_controls_topology,xgboost,prob_bucket,0-5%,5606,0.0006673585486712722,0.025875508671357364,0.025535802609415785,0.0,
1,xgb_pca_controls_topology,xgb,pca_controls_topology,xgboost,prob_bucket,5-10%,2545,0.0003800842521841318,0.018979578054376053,0.01878675038327988,0.0,
1,xgb_pca_controls_topology,xgb,pca_controls_topology,xgboost,prob_bucket,10-25%,2758,0.06677943421699267,0.222573120460864,0.08285622190592232,0.0830311820159536,0.8155311055511525
1,xgb_pca_controls_topology,xgb,pca_controls_topology,xgboost,prob_bucket,25-50%,2093,0.05634216488995576,0.20237248205033975,0.14669142909992328,0.022933588150979456,0.8857375713121434
1,xgb_pca_controls_topology,xgb,pca_controls_topology,xgboost,prob_bucket,50-75%,1493,0.21404727730835646,0.5866027661311037,0.405019902491322,0.5679839249832552,0.6976744186046512
1,xgb_pca_controls_topology,xgb,pca_controls_topology,xgboost,prob_bucket,75-90%,354,0.07787134984121458,0.2703780381172338,0.29733474879909705,0.4519774011299435,1.0
1,xgb_pca_controls_topology,xgb,pca_controls_topology,xgboost,prob_bucket,90-95%,1,0.0021411681694338963,0.047377558680733324,0.04627275839447975,0.0,
2,market_probability,market,market,baseline,overall,overall,17934,0.06403496738427991,0.214888318374834,0.15275339506816518,0.07494145199063232,0.9125103825813026
2,market_probability,market,market,baseline,broad_domain,crypto,6384,0.09120550250626568,0.3010697722853406,0.21360479323308268,0.0,
2,market_probability,market,market,baseline,broad_domain,macro,11550,0.049017071607764154,0.16725347839520852,0.11911916771882897,0.11636363636363636,0.9632594593049839
2,market_probability,market,market,baseline,broad_family,crypto_btc,3360,0.07233068422619048,0.24262594300944526,0.18369196428571427,0.0,
2,market_probability,market,market,baseline,broad_family,crypto_eth,2352,0.13916769940476192,0.43176078642737165,0.28137244897959185,0.0,
2,market_probability,market,market,baseline,broad_family,crypto_microstrategy,336,0.007351339285714286,0.08923123930065323,0.08532738095238095,0.0,
2,market_probability,market,market,baseline,broad_family,crypto_policy,336,0.028072470238095244,0.1825094990347646,0.16663690476190474,0.0,
2,market_probability,market,market,baseline,broad_family,macro_fed_rates,11550,0.049017071607764154,0.16725347839520852,0.11911916771882897,0.11636363636363636,0.9632594593049839
2,market_probability,market,market,baseline,Y_i,0,16590,0.04538872996200578,0.16463534471512695,0.1242606622756163,0.0,
2,market_probability,market,market,baseline,Y_i,1,1344,0.2941994605654762,0.8351984619868428,0.5044605654761904,1.0,
