hypothesis,target,task,fold,model,feature_set,placebo_type,n_obs,metric_primary,brier,log_loss,mse,mae,auc
H3_regime_volatility,abs_move_24h,regression,3,pca_abs_move_24h,pca,none,18204,0.00020083582822916002,,,0.00020083582822916002,0.008908223179792776,
H3_regime_volatility,abs_move_24h,regression,3,pca_plus_topology_abs_move_24h,residual_topology,real,18204,0.00019960020006290873,,,0.00019960020006290873,0.008758085395966089,
H3_regime_volatility,abs_move_72h,regression,3,pca_abs_move_72h,pca,none,18204,0.00040676184402467844,,,0.00040676184402467844,0.013375303452783857,
H3_regime_volatility,abs_move_72h,regression,3,pca_plus_topology_abs_move_72h,residual_topology,real,18204,0.00040324116405662,,,0.00040324116405662,0.012989016941179965,
H4_topology_change,Y_i,classification,3,pca_plus_topology_change,topology_change,real,18204,0.1574927323105604,0.04516821061390698,0.1574927323105604,,,0.9358171549313675
H4_topology_change,Y_i,classification,3,pca_plus_topology_change_shuffle,topology_change,shuffle,18204,0.15753067619274794,0.045179248876182014,0.15753067619274794,,,0.935675494619556
H4_topology_change,Y_i,classification,3,pca_plus_topology_change_future_shift,topology_change,future_shift,18204,0.15750493896220383,0.045172216765906485,0.15750493896220383,,,0.9357767309919223
H5_interactions,Y_i,classification,3,logistic_interactions,topology_interactions,real,18204,0.15759546761603155,0.04518336123796943,0.15759546761603155,,,0.9352334350110151
H5_interactions,Y_i,classification,3,xgboost_interactions,topology_interactions,real,18204,0.13729455476070082,0.041446758849328025,0.13729455476070082,,,0.9470948603344066
H6_uncertainty_signal,miscalibration_indicator,classification,3,pca_error_miscalibration_indicator,pca,none,18204,0.2763209811270951,0.07179617227983799,0.2763209811270951,,,0.9735263077911692
H6_uncertainty_signal,miscalibration_indicator,classification,3,pca_plus_topology_error_miscalibration_indicator,residual_topology,real,18204,0.27639452335312154,0.07137028118109391,0.27639452335312154,,,0.973506737695343
H6_uncertainty_signal,market_abs_error,regression,3,pca_error_market_abs_error,pca,none,18204,0.01539458055274179,,,0.01539458055274179,0.07150092311306207,
H6_uncertainty_signal,market_abs_error,regression,3,pca_plus_topology_error_market_abs_error,residual_topology,real,18204,0.015421656727432894,,,0.015421656727432894,0.07228192872031786,
H6_uncertainty_signal,market_squared_error,regression,3,pca_error_market_squared_error,pca,none,18204,0.010399087865367852,,,0.010399087865367852,0.04366784152011805,
H6_uncertainty_signal,market_squared_error,regression,3,pca_plus_topology_error_market_squared_error,residual_topology,real,18204,0.010413891995189075,,,0.010413891995189075,0.045052161558801804,
baseline,Y_i,classification,4,market_only,market_probability,none,18492,0.16296004318113447,0.04500141526495367,0.16296004318113447,,,0.9455900077573203
baseline,Y_i,classification,4,pca_only,pca,none,18492,0.1388532774311989,0.038699449662900176,0.1388532774311989,,,0.9450291337933167
H1_local_topology,Y_i,classification,4,pca_plus_local_broad_family_ph,local_broad_family,real,18492,0.1479293322558989,0.041390055092510765,0.1479293322558989,,,0.9251502588407579
H1_local_topology,Y_i,classification,4,pca_plus_local_broad_family_ph_shuffle,local_broad_family,shuffle,18492,0.14002949977097714,0.03910503689541374,0.14002949977097714,,,0.94530023947452
H1_local_topology,Y_i,classification,4,pca_plus_local_broad_family_ph_future_shift,local_broad_family,future_shift,18492,0.14179905685684957,0.03994613336139143,0.14179905685684957,,,0.9418434147105034
H1_local_topology,Y_i,classification,4,pca_plus_local_broad_domain_ph,local_broad_domain,real,18492,0.14194391747617144,0.038605711890235386,0.14194391747617144,,,0.9170449307546034
H1_local_topology,Y_i,classification,4,pca_plus_local_broad_domain_ph_shuffle,local_broad_domain,shuffle,18492,0.13870829376205984,0.038642124208625526,0.13870829376205984,,,0.9450942580457571
H1_local_topology,Y_i,classification,4,pca_plus_local_broad_domain_ph_future_shift,local_broad_domain,future_shift,18492,0.13518392876006885,0.03702798364645794,0.13518392876006885,,,0.9303892971062357
H1_local_topology,Y_i,classification,4,pca_plus_top_corr_k10_local_graph,local_top_corr_k10,real,18492,0.09176181972667481,0.02223875339544652,0.09176181972667481,,,0.9713442464086941
H1_local_topology,Y_i,classification,4,pca_plus_top_corr_k10_local_graph_shuffle,local_top_corr_k10,shuffle,18492,0.13658964798396295,0.038758472289042396,0.13658964798396295,,,0.9507809822460636
H1_local_topology,Y_i,classification,4,pca_plus_top_corr_k20_local_graph,local_top_corr_k20,real,18492,0.09140049856602321,0.02245750219353077,0.09140049856602321,,,0.9787020095638256
H1_local_topology,Y_i,classification,4,pca_plus_top_corr_k20_local_graph_shuffle,local_top_corr_k20,shuffle,18492,0.1128539093996249,0.030300567029413503,0.1128539093996249,,,0.9673578324362511
H1_local_topology,Y_i,classification,4,pca_plus_top_corr_k40_local_graph,local_top_corr_k40,real,18492,0.10244387031065154,0.02758604834430932,0.10244387031065154,,,0.9725066103930772
H1_local_topology,Y_i,classification,4,pca_plus_top_corr_k40_local_graph_shuffle,local_top_corr_k40,shuffle,18492,0.14379572323821616,0.038875676248856135,0.14379572323821616,,,0.9429190690436152
H1_local_topology,Y_i,classification,4,pca_plus_nearest_pca_k10_local_graph,local_nearest_pca_k10,real,18492,0.14886777584457672,0.04676309385314265,0.14886777584457672,,,0.9475921238625177
H1_local_topology,Y_i,classification,4,pca_plus_nearest_pca_k10_local_graph_shuffle,local_nearest_pca_k10,shuffle,18492,0.10989477904644515,0.02671946669003512,0.10989477904644515,,,0.9439403593481772
H1_local_topology,Y_i,classification,4,pca_plus_nearest_pca_k20_local_graph,local_nearest_pca_k20,real,18492,0.14345091981423105,0.04329269774288707,0.14345091981423105,,,0.9550871285855416
H1_local_topology,Y_i,classification,4,pca_plus_nearest_pca_k20_local_graph_shuffle,local_nearest_pca_k20,shuffle,18492,0.12119757706850331,0.03341897301593899,0.12119757706850331,,,0.9573666506237573
H1_local_topology,Y_i,classification,4,pca_plus_nearest_pca_k40_local_graph,local_nearest_pca_k40,real,18492,0.128205421271618,0.030667254904827395,0.128205421271618,,,0.9092923951197515
H1_local_topology,Y_i,classification,4,pca_plus_nearest_pca_k40_local_graph_shuffle,local_nearest_pca_k40,shuffle,18492,0.1297084441807376,0.03549173281257,0.1297084441807376,,,0.9442049699244164
H2_graph_topology,Y_i,classification,4,pca_plus_graph_topology,graph_topology,real,18492,0.13880944424789135,0.03868245221170253,0.13880944424789135,,,0.9450941281436578
H2_graph_topology,Y_i,classification,4,pca_plus_graph_topology_shuffle,graph_topology,shuffle,18492,0.13885538269318906,0.03870211355925844,0.13885538269318906,,,0.9449942334293093
H2_graph_topology,Y_i,classification,4,pca_plus_graph_topology_future_shift,graph_topology,future_shift,18492,0.13879802397846863,0.03866779534683432,0.13879802397846863,,,0.9449256018201883
H3_regime_volatility,large_move_24h,classification,4,pca_large_move_24h,pca,none,18492,0.021880165757685362,0.0032504232173901884,0.021880165757685362,,,0.9371288158275463
H3_regime_volatility,large_move_24h,classification,4,pca_plus_topology_large_move_24h,residual_topology,real,18492,0.023878722541142323,0.0033187758056457423,0.023878722541142323,,,0.9403840241608796
H3_regime_volatility,large_move_72h,classification,4,pca_large_move_72h,pca,none,18492,0.07220601575436353,0.015972128641261785,0.07220601575436353,,,0.9225107797971672
H3_regime_volatility,large_move_72h,classification,4,pca_plus_topology_large_move_72h,residual_topology,real,18492,0.07322621374613043,0.01598630200858625,0.07322621374613043,,,0.9211942792254243
H3_regime_volatility,abs_move_24h,regression,4,pca_abs_move_24h,pca,none,18396,0.00016484711388571938,,,0.00016484711388571938,0.007967505464859139,
H3_regime_volatility,abs_move_24h,regression,4,pca_plus_topology_abs_move_24h,residual_topology,real,18396,0.00016912870361150998,,,0.00016912870361150998,0.008584474965805696,
H3_regime_volatility,abs_move_72h,regression,4,pca_abs_move_72h,pca,none,18204,0.00039735232346447744,,,0.00039735232346447744,0.012444821470623979,
H3_regime_volatility,abs_move_72h,regression,4,pca_plus_topology_abs_move_72h,residual_topology,real,18204,0.00040046598874752805,,,0.00040046598874752805,0.012743062347877627,
H4_topology_change,Y_i,classification,4,pca_plus_topology_change,topology_change,real,18492,0.13886809232726938,0.03870698365354881,0.13886809232726938,,,0.9450607000034423
H4_topology_change,Y_i,classification,4,pca_plus_topology_change_shuffle,topology_change,shuffle,18492,0.13884037922945625,0.03868865843364233,0.13884037922945625,,,0.9449453469392792
