panel,fold,model,n_components,compression_ratio,train_start,train_end,test_start,test_end,observed_cells,rmse,mae,bias
core_plus_satellites,4,var_90,7,0.23333333333333334,2024-12-30 23:00:00+00:00,2025-11-09 09:00:00+00:00,2025-11-09 10:00:00+00:00,2025-11-23 09:00:00+00:00,8736,0.04023447212870025,0.020845357432061107,0.010788221055150355
core_plus_satellites,4,fixed_10,10,0.3333333333333333,2024-12-30 23:00:00+00:00,2025-11-09 09:00:00+00:00,2025-11-09 10:00:00+00:00,2025-11-23 09:00:00+00:00,8736,0.027239764380670925,0.013721931837316523,0.004209612303835197
core_plus_satellites,4,var_95,10,0.3333333333333333,2024-12-30 23:00:00+00:00,2025-11-09 09:00:00+00:00,2025-11-09 10:00:00+00:00,2025-11-23 09:00:00+00:00,8736,0.027239764380670925,0.013721931837316523,0.004209612303835197
core_plus_satellites,5,train_mean,0,0.0,2024-12-30 23:00:00+00:00,2025-11-23 09:00:00+00:00,2025-11-23 10:00:00+00:00,2025-12-07 09:00:00+00:00,8736,0.18777053952088268,0.1305067216935441,0.1304629364237379
core_plus_satellites,5,last_train_state,0,0.0,2024-12-30 23:00:00+00:00,2025-11-23 09:00:00+00:00,2025-11-23 10:00:00+00:00,2025-12-07 09:00:00+00:00,8736,0.031589138113342706,0.013688148999903975,0.013065973493484076
core_plus_satellites,5,fixed_2,2,0.06666666666666667,2024-12-30 23:00:00+00:00,2025-11-23 09:00:00+00:00,2025-11-23 10:00:00+00:00,2025-12-07 09:00:00+00:00,8736,0.04438484841211534,0.024573083297301606,0.017866798213782717
core_plus_satellites,5,fixed_5,5,0.16666666666666666,2024-12-30 23:00:00+00:00,2025-11-23 09:00:00+00:00,2025-11-23 10:00:00+00:00,2025-12-07 09:00:00+00:00,8736,0.022634451405695297,0.0122721797313187,0.006514568915907361
core_plus_satellites,5,var_85,5,0.16666666666666666,2024-12-30 23:00:00+00:00,2025-11-23 09:00:00+00:00,2025-11-23 10:00:00+00:00,2025-12-07 09:00:00+00:00,8736,0.022634451405695297,0.0122721797313187,0.006514568915907361
core_plus_satellites,5,var_90,7,0.23333333333333334,2024-12-30 23:00:00+00:00,2025-11-23 09:00:00+00:00,2025-11-23 10:00:00+00:00,2025-12-07 09:00:00+00:00,8736,0.017731068960992566,0.009598470475395877,0.0017333063399561771
core_plus_satellites,5,var_95,9,0.3,2024-12-30 23:00:00+00:00,2025-11-23 09:00:00+00:00,2025-11-23 10:00:00+00:00,2025-12-07 09:00:00+00:00,8736,0.018048774712557305,0.009078281663267738,0.002909255391724842
core_plus_satellites,5,fixed_10,10,0.3333333333333333,2024-12-30 23:00:00+00:00,2025-11-23 09:00:00+00:00,2025-11-23 10:00:00+00:00,2025-12-07 09:00:00+00:00,8736,0.018232438037193533,0.009130366661431867,0.003035320578658283
core_plus_satellites,6,train_mean,0,0.0,2024-12-30 23:00:00+00:00,2025-12-07 09:00:00+00:00,2025-12-07 10:00:00+00:00,2025-12-21 09:00:00+00:00,8236,0.19435991400900443,0.14082524242010688,0.13392257712619465
core_plus_satellites,6,last_train_state,0,0.0,2024-12-30 23:00:00+00:00,2025-12-07 09:00:00+00:00,2025-12-07 10:00:00+00:00,2025-12-21 09:00:00+00:00,8236,0.039115361823007,0.009927361581674935,-0.0025606640927427968
core_plus_satellites,6,fixed_2,2,0.06666666666666667,2024-12-30 23:00:00+00:00,2025-12-07 09:00:00+00:00,2025-12-07 10:00:00+00:00,2025-12-21 09:00:00+00:00,8236,0.0475151983187155,0.025837537319794022,0.016293766581568916
core_plus_satellites,6,fixed_5,5,0.16666666666666666,2024-12-30 23:00:00+00:00,2025-12-07 09:00:00+00:00,2025-12-07 10:00:00+00:00,2025-12-21 09:00:00+00:00,8236,0.044748645699641,0.021328443258552016,0.014504434796976114
core_plus_satellites,6,var_85,5,0.16666666666666666,2024-12-30 23:00:00+00:00,2025-12-07 09:00:00+00:00,2025-12-07 10:00:00+00:00,2025-12-21 09:00:00+00:00,8236,0.044748645699641,0.021328443258552016,0.014504434796976114
core_plus_satellites,6,var_90,6,0.2,2024-12-30 23:00:00+00:00,2025-12-07 09:00:00+00:00,2025-12-07 10:00:00+00:00,2025-12-21 09:00:00+00:00,8236,0.04967952988386623,0.02251816196554424,0.016987729055270306
core_plus_satellites,6,var_95,9,0.3,2024-12-30 23:00:00+00:00,2025-12-07 09:00:00+00:00,2025-12-07 10:00:00+00:00,2025-12-21 09:00:00+00:00,8236,0.04175983298766812,0.017911390361029927,0.015285076957881272
core_plus_satellites,6,fixed_10,10,0.3333333333333333,2024-12-30 23:00:00+00:00,2025-12-07 09:00:00+00:00,2025-12-07 10:00:00+00:00,2025-12-21 09:00:00+00:00,8236,0.04183228246938544,0.017969746625784228,0.015314386921351678
core_plus_satellites,7,train_mean,0,0.0,2024-12-30 23:00:00+00:00,2025-12-21 09:00:00+00:00,2025-12-21 10:00:00+00:00,2026-01-01 08:00:00+00:00,6312,0.18875186596600008,0.13797281174205211,0.13039428259364969
core_plus_satellites,7,last_train_state,0,0.0,2024-12-30 23:00:00+00:00,2025-12-21 09:00:00+00:00,2025-12-21 10:00:00+00:00,2026-01-01 08:00:00+00:00,6312,0.015594533181519345,0.004723295348231162,-0.00023144891011266328
core_plus_satellites,7,fixed_2,2,0.06666666666666667,2024-12-30 23:00:00+00:00,2025-12-21 09:00:00+00:00,2025-12-21 10:00:00+00:00,2026-01-01 08:00:00+00:00,6312,0.035308218265337706,0.019228412793849823,0.011035811830005274
core_plus_satellites,7,fixed_5,5,0.16666666666666666,2024-12-30 23:00:00+00:00,2025-12-21 09:00:00+00:00,2025-12-21 10:00:00+00:00,2026-01-01 08:00:00+00:00,6312,0.0227239998328476,0.011203940662668806,0.010268635341462355
core_plus_satellites,7,var_85,5,0.16666666666666666,2024-12-30 23:00:00+00:00,2025-12-21 09:00:00+00:00,2025-12-21 10:00:00+00:00,2026-01-01 08:00:00+00:00,6312,0.0227239998328476,0.011203940662668806,0.010268635341462355
core_plus_satellites,7,var_90,6,0.2,2024-12-30 23:00:00+00:00,2025-12-21 09:00:00+00:00,2025-12-21 10:00:00+00:00,2026-01-01 08:00:00+00:00,6312,0.022930746587384,0.011150148829003038,0.01021392099978572
core_plus_satellites,7,var_95,8,0.26666666666666666,2024-12-30 23:00:00+00:00,2025-12-21 09:00:00+00:00,2025-12-21 10:00:00+00:00,2026-01-01 08:00:00+00:00,6312,0.018851645520022765,0.008408472867466927,0.007485175056931692
core_plus_satellites,7,fixed_10,10,0.3333333333333333,2024-12-30 23:00:00+00:00,2025-12-21 09:00:00+00:00,2025-12-21 10:00:00+00:00,2026-01-01 08:00:00+00:00,6312,0.01841987144533366,0.008030524483645591,0.007068913501691998
