fold,representation,model,window_hours,placebo_type,eval_group_type,eval_group,status,n_obs,brier,log_loss,avg_pred,avg_actual,ece
1,pca_residual_scalar_ph,pca_residual_scalar_ph_72h,72,real,overall,overall,ok,14850,0.05900385763820017,0.1978705895153102,0.11108446516194197,0.08653198653198653,0.0496040751100915
1,pca_residual_scalar_ph,pca_residual_scalar_ph_72h,72,real,broad_family,crypto_btc,ok,3112,0.08196551152079987,0.23775797203210522,0.14622225978968223,0.0,0.14622225978968226
1,pca_residual_scalar_ph,pca_residual_scalar_ph_72h,72,real,broad_family,crypto_eth,ok,1937,0.08877775718236669,0.2735674206961109,0.17040829239321825,0.0,0.17040829239321822
1,pca_residual_scalar_ph,pca_residual_scalar_ph_72h,72,real,broad_family,crypto_microstrategy,ok,336,0.0002540029587128464,0.015312674912182038,0.015183983849945374,0.0,0.015183983849945374
1,pca_residual_scalar_ph,pca_residual_scalar_ph_72h,72,real,broad_family,crypto_policy,ok,336,0.0014271424458447142,0.03652821785950156,0.03579152325375574,0.0,0.03579152325375574
1,pca_residual_scalar_ph,pca_residual_scalar_ph_72h,72,real,broad_family,macro_fed_rates,ok,9129,0.04914045717563453,0.18086940644964317,0.09281980528391277,0.1407602147004053,0.05920223404624311
1,pca_residual_scalar_ph,pca_residual_scalar_ph_72h,72,real,active_market_count_bucket,26-50,ok,1740,0.0412118394926403,0.13254937157789107,0.10431076627821277,0.1,0.09018175238969613
1,pca_residual_scalar_ph,pca_residual_scalar_ph_72h,72,real,active_market_count_bucket,51-100,ok,13110,0.061365269657519324,0.20654022484796536,0.11198349155840946,0.08474446987032799,0.05276723856038417
1,pca_residual_image_ph,pca_residual_image_ph_72h,72,real,overall,overall,ok,14850,0.05860079937573045,0.196487813560566,0.10718978430575817,0.08653198653198653,0.04363523015527476
1,pca_residual_image_ph,pca_residual_image_ph_72h,72,real,broad_family,crypto_btc,ok,3112,0.07808781579938527,0.2266657766093097,0.14085676053028295,0.0,0.14085676053028298
1,pca_residual_image_ph,pca_residual_image_ph_72h,72,real,broad_family,crypto_eth,ok,1937,0.08429132618134394,0.25874634459485374,0.1642022915095407,0.0,0.1642022915095407
1,pca_residual_image_ph,pca_residual_image_ph_72h,72,real,broad_family,crypto_microstrategy,ok,336,0.0002381831714686694,0.014328981961690357,0.014208151158767961,0.0,0.014208151158767961
1,pca_residual_image_ph,pca_residual_image_ph_72h,72,real,broad_family,crypto_policy,ok,336,0.0013588939534173185,0.03444629363454512,0.03374262056091489,0.0,0.0337426205609149
1,pca_residual_image_ph,pca_residual_image_ph_72h,72,real,broad_family,macro_fed_rates,ok,9129,0.050761712261439954,0.18565888624007743,0.08974156646056243,0.1407602147004053,0.059432362001656865
1,pca_residual_image_ph,pca_residual_image_ph_72h,72,real,active_market_count_bucket,26-50,ok,1740,0.041772597113217395,0.13232114120158733,0.10043764949059933,0.1,0.08059499388444358
1,pca_residual_image_ph,pca_residual_image_ph_72h,72,real,active_market_count_bucket,51-100,ok,13110,0.0608342907515331,0.20500421401095678,0.10808594865193485,0.08474446987032799,0.04873939392643765
1,pca_residual_scalar_ph_shuffle,pca_residual_scalar_ph_shuffle_72h,72,shuffle,overall,overall,ok,14850,0.059681525134377994,0.20019423064773584,0.11542340516752557,0.08653198653198653,0.04846866512324313
1,pca_residual_scalar_ph_shuffle,pca_residual_scalar_ph_shuffle_72h,72,shuffle,broad_family,crypto_btc,ok,3112,0.08531173310865606,0.24823418833174868,0.15076618567584896,0.0,0.15076618567584896
1,pca_residual_scalar_ph_shuffle,pca_residual_scalar_ph_shuffle_72h,72,shuffle,broad_family,crypto_eth,ok,1937,0.09280453322666306,0.2850817375244964,0.17685352423091377,0.0,0.1768535242309138
1,pca_residual_scalar_ph_shuffle,pca_residual_scalar_ph_shuffle_72h,72,shuffle,broad_family,crypto_microstrategy,ok,336,0.0003271100613462763,0.016913445436665727,0.01674715020332991,0.0,0.01674715020332991
1,pca_residual_scalar_ph_shuffle,pca_residual_scalar_ph_shuffle_72h,72,shuffle,broad_family,crypto_policy,ok,336,0.0018197853970281551,0.040271207249860455,0.03932449475308778,0.0,0.03932449475308778
1,pca_residual_scalar_ph_shuffle,pca_residual_scalar_ph_shuffle_72h,72,shuffle,broad_family,macro_fed_rates,ok,9129,0.04823056162529474,0.17843818185374663,0.09677378111226603,0.1407602147004053,0.05664036937868456
1,pca_residual_scalar_ph_shuffle,pca_residual_scalar_ph_shuffle_72h,72,shuffle,active_market_count_bucket,26-50,ok,1740,0.0413348054046308,0.13254421767841063,0.10331472532324186,0.1,0.08797299062232222
1,pca_residual_scalar_ph_shuffle,pca_residual_scalar_ph_shuffle_72h,72,shuffle,active_market_count_bucket,51-100,ok,13110,0.06211655887425292,0.20917295090453417,0.11703050684022227,0.08474446987032799,0.05311923068823093
1,pca_residual_image_ph_shuffle,pca_residual_image_ph_shuffle_72h,72,shuffle,overall,overall,ok,14850,0.05963244137822441,0.20002155594498663,0.11510571066460816,0.08653198653198653,0.04789901217001579
1,pca_residual_image_ph_shuffle,pca_residual_image_ph_shuffle_72h,72,shuffle,broad_family,crypto_btc,ok,3112,0.08506073492281581,0.24745045278725566,0.15041252942500266,0.0,0.1504125294250027
1,pca_residual_image_ph_shuffle,pca_residual_image_ph_shuffle_72h,72,shuffle,broad_family,crypto_eth,ok,1937,0.09248821430097606,0.2841148271970838,0.17637318875160726,0.0,0.17637318875160726
1,pca_residual_image_ph_shuffle,pca_residual_image_ph_shuffle_72h,72,shuffle,broad_family,crypto_microstrategy,ok,336,0.00032172491481339166,0.016795530918790238,0.016632015345573025,0.0,0.016632015345573025
1,pca_residual_image_ph_shuffle,pca_residual_image_ph_shuffle_72h,72,shuffle,broad_family,crypto_policy,ok,336,0.0017923176562702038,0.040008273634712925,0.039076376421657975,0.0,0.039076376421657975
1,pca_residual_image_ph_shuffle,pca_residual_image_ph_shuffle_72h,72,shuffle,broad_family,macro_fed_rates,ok,9129,0.04830460707437341,0.17864364093530327,0.09649283881620876,0.1407602147004053,0.05669537045205865
1,pca_residual_image_ph_shuffle,pca_residual_image_ph_shuffle_72h,72,shuffle,active_market_count_bucket,26-50,ok,1740,0.04132296290160762,0.13254853532140062,0.10342996627509594,0.1,0.08697418255792783
1,pca_residual_image_ph_shuffle,pca_residual_image_ph_shuffle_72h,72,shuffle,active_market_count_bucket,51-100,ok,13110,0.06206253234308431,0.20897678522683558,0.11665535179639697,0.08474446987032799,0.05280298449423251
1,pca_residual_scalar_ph_future_shift,pca_residual_scalar_ph_future_shift_72h,72,future_shift,overall,overall,ok,11061,0.059254854130354376,0.19672390859182035,0.1169616311308417,0.0901365156857427,0.040870266334616816
1,pca_residual_scalar_ph_future_shift,pca_residual_scalar_ph_future_shift_72h,72,future_shift,broad_family,crypto_btc,ok,2392,0.08404858655181874,0.24360619907940673,0.14825245597212217,0.0,0.1482524559721222
1,pca_residual_scalar_ph_future_shift,pca_residual_scalar_ph_future_shift_72h,72,future_shift,broad_family,crypto_eth,ok,1460,0.08067406029825466,0.25339934669171155,0.1635939129870428,0.0,0.1635939129870428
