fold,representation,model,window_hours,placebo_type,prob_decile,n_obs,avg_pred,avg_actual
1,pca_residual_scalar_ph_future_shift,pca_residual_scalar_ph_future_shift_24h,24,future_shift,8,399,0.8417464512778592,0.43859649122807015
1,pca_residual_scalar_ph_future_shift,pca_residual_scalar_ph_future_shift_24h,24,future_shift,9,24,0.9126099731198093,0.8333333333333334
1,pca_residual_scalar_ph_future_shift,pca_residual_scalar_ph_future_shift_72h,72,future_shift,0,8508,0.019939974498327635,0.018805829807240243
1,pca_residual_scalar_ph_future_shift,pca_residual_scalar_ph_future_shift_72h,72,future_shift,1,685,0.1444253701604256,0.061313868613138686
1,pca_residual_scalar_ph_future_shift,pca_residual_scalar_ph_future_shift_72h,72,future_shift,2,353,0.2404736804990473,0.0028328611898017
1,pca_residual_scalar_ph_future_shift,pca_residual_scalar_ph_future_shift_72h,72,future_shift,3,179,0.3613371360996021,0.4245810055865922
1,pca_residual_scalar_ph_future_shift,pca_residual_scalar_ph_future_shift_72h,72,future_shift,4,292,0.4458290691988215,0.4623287671232877
1,pca_residual_scalar_ph_future_shift,pca_residual_scalar_ph_future_shift_72h,72,future_shift,5,235,0.5513646762232354,0.7914893617021277
1,pca_residual_scalar_ph_future_shift,pca_residual_scalar_ph_future_shift_72h,72,future_shift,6,243,0.6395480188610504,0.6584362139917695
1,pca_residual_scalar_ph_future_shift,pca_residual_scalar_ph_future_shift_72h,72,future_shift,7,221,0.7627034680295764,0.2398190045248869
1,pca_residual_scalar_ph_future_shift,pca_residual_scalar_ph_future_shift_72h,72,future_shift,8,328,0.8425730234462044,0.5121951219512195
1,pca_residual_scalar_ph_future_shift,pca_residual_scalar_ph_future_shift_72h,72,future_shift,9,17,0.910646467173027,0.9411764705882353
1,pca_residual_scalar_ph_shuffle,pca_residual_scalar_ph_shuffle_168h,168,shuffle,0,11570,0.020443074612051554,0.01979256698357822
1,pca_residual_scalar_ph_shuffle,pca_residual_scalar_ph_shuffle_168h,168,shuffle,1,784,0.1424919258034699,0.026785714285714284
1,pca_residual_scalar_ph_shuffle,pca_residual_scalar_ph_shuffle_168h,168,shuffle,2,502,0.24119060660479208,0.049800796812749
1,pca_residual_scalar_ph_shuffle,pca_residual_scalar_ph_shuffle_168h,168,shuffle,3,194,0.35617014054134494,0.07216494845360824
1,pca_residual_scalar_ph_shuffle,pca_residual_scalar_ph_shuffle_168h,168,shuffle,4,445,0.4468705980792488,0.5752808988764045
1,pca_residual_scalar_ph_shuffle,pca_residual_scalar_ph_shuffle_168h,168,shuffle,5,311,0.5571849608827797,0.8231511254019293
1,pca_residual_scalar_ph_shuffle,pca_residual_scalar_ph_shuffle_168h,168,shuffle,6,260,0.6545425842970335,0.6692307692307692
1,pca_residual_scalar_ph_shuffle,pca_residual_scalar_ph_shuffle_168h,168,shuffle,7,324,0.7656389835121435,0.345679012345679
1,pca_residual_scalar_ph_shuffle,pca_residual_scalar_ph_shuffle_168h,168,shuffle,8,432,0.8414617935175573,0.4050925925925926
1,pca_residual_scalar_ph_shuffle,pca_residual_scalar_ph_shuffle_168h,168,shuffle,9,28,0.9139276399819108,0.8214285714285714
1,pca_residual_scalar_ph_shuffle,pca_residual_scalar_ph_shuffle_24h,24,shuffle,0,11582,0.02045687714068725,0.019858400967017787
1,pca_residual_scalar_ph_shuffle,pca_residual_scalar_ph_shuffle_24h,24,shuffle,1,775,0.14286368507392097,0.025806451612903226
1,pca_residual_scalar_ph_shuffle,pca_residual_scalar_ph_shuffle_24h,24,shuffle,2,503,0.2410914233500714,0.04970178926441352
1,pca_residual_scalar_ph_shuffle,pca_residual_scalar_ph_shuffle_24h,24,shuffle,3,200,0.3582443544964971,0.1
1,pca_residual_scalar_ph_shuffle,pca_residual_scalar_ph_shuffle_24h,24,shuffle,4,433,0.4465614621426721,0.5773672055427251
1,pca_residual_scalar_ph_shuffle,pca_residual_scalar_ph_shuffle_24h,24,shuffle,5,314,0.5558350190629407,0.8152866242038217
1,pca_residual_scalar_ph_shuffle,pca_residual_scalar_ph_shuffle_24h,24,shuffle,6,258,0.6537278229560909,0.6666666666666666
1,pca_residual_scalar_ph_shuffle,pca_residual_scalar_ph_shuffle_24h,24,shuffle,7,332,0.7652614593323248,0.3493975903614458
1,pca_residual_scalar_ph_shuffle,pca_residual_scalar_ph_shuffle_24h,24,shuffle,8,425,0.8414077888257985,0.40705882352941175
1,pca_residual_scalar_ph_shuffle,pca_residual_scalar_ph_shuffle_24h,24,shuffle,9,28,0.9135742961886398,0.8214285714285714
1,pca_residual_scalar_ph_shuffle,pca_residual_scalar_ph_shuffle_72h,72,shuffle,0,11579,0.020502455990290908,0.01977718283098713
1,pca_residual_scalar_ph_shuffle,pca_residual_scalar_ph_shuffle_72h,72,shuffle,1,783,0.1431012968268604,0.0280970625798212
1,pca_residual_scalar_ph_shuffle,pca_residual_scalar_ph_shuffle_72h,72,shuffle,2,500,0.24169948525221804,0.048
1,pca_residual_scalar_ph_shuffle,pca_residual_scalar_ph_shuffle_72h,72,shuffle,3,196,0.3580439138793221,0.08673469387755102
