model,fold,prob_decile,n_obs,avg_pred,avg_actual,abs_calibration_error,ece
logit_pca_controls_dynamic_topology,13,3,163,0.33473971679431946,0.0,0.33473971679431946,0.06313623273441199
logit_pca_controls_dynamic_topology,13,4,18,0.45621919095438657,0.16666666666666666,0.28955252428771994,0.06313623273441199
logit_pca_controls_dynamic_topology,13,5,53,0.5514059868705088,0.660377358490566,0.10897137162005721,0.06313623273441199
logit_pca_controls_dynamic_topology,13,6,171,0.6597458360401878,0.783625730994152,0.12387989495396423,0.06313623273441199
logit_pca_controls_dynamic_topology,13,7,252,0.7509143592447486,0.8055555555555556,0.054641196310806994,0.06313623273441199
logit_pca_controls_dynamic_topology,13,8,483,0.8532368145652142,0.4161490683229814,0.4370877462422328,0.06313623273441199
logit_pca_controls_dynamic_topology,13,9,814,0.9606599603917442,0.8464373464373465,0.1142226139543977,0.06313623273441199
logit_pca_controls_dynamic_topology,14,0,9899,0.012407786222890897,0.03394282250732397,0.021535036284433075,0.044762474641510404
logit_pca_controls_dynamic_topology,14,1,171,0.14942915370501186,0.017543859649122806,0.13188529405588906,0.044762474641510404
logit_pca_controls_dynamic_topology,14,2,62,0.24274525306238337,0.46774193548387094,0.22499668242148757,0.044762474641510404
logit_pca_controls_dynamic_topology,14,3,46,0.35435550789024456,0.8913043478260869,0.5369488399358424,0.044762474641510404
logit_pca_controls_dynamic_topology,14,4,150,0.4556074627034966,0.7133333333333334,0.25772587062983676,0.044762474641510404
logit_pca_controls_dynamic_topology,14,5,147,0.5616759185106952,0.891156462585034,0.3294805440743388,0.044762474641510404
logit_pca_controls_dynamic_topology,14,6,114,0.6433565696335175,0.20175438596491227,0.44160218366860526,0.044762474641510404
logit_pca_controls_dynamic_topology,14,7,192,0.767032192122045,0.3697916666666667,0.3972405254553783,0.044762474641510404
logit_pca_controls_dynamic_topology,14,8,262,0.8552146167077166,0.7786259541984732,0.07658866250924334,0.044762474641510404
logit_pca_controls_dynamic_topology,14,9,401,0.9847555376293631,0.9950124688279302,0.010256931198567076,0.044762474641510404
logit_pca_controls_dynamic_topology,15,0,9197,0.020795143172549574,0.018593019462868326,0.002202123709681248,0.016966666077873387
logit_pca_controls_dynamic_topology,15,1,552,0.14333396025150263,0.3170289855072464,0.17369502525574376,0.016966666077873387
logit_pca_controls_dynamic_topology,15,2,395,0.23945139853795103,0.21772151898734177,0.02172987955060926,0.016966666077873387
logit_pca_controls_dynamic_topology,15,3,252,0.3405463719677319,0.25,0.09054637196773191,0.016966666077873387
logit_pca_controls_dynamic_topology,15,4,161,0.4512959609704398,0.35403726708074534,0.09725869388969444,0.016966666077873387
logit_pca_controls_dynamic_topology,15,5,124,0.5492179643397513,0.5,0.04921796433975134,0.016966666077873387
logit_pca_controls_dynamic_topology,15,6,72,0.6307119633539996,0.8055555555555556,0.174843592201556,0.016966666077873387
logit_pca_controls_dynamic_topology,15,7,2,0.7077873476729697,0.0,0.7077873476729697,0.016966666077873387
logit_pca_controls_dynamic_topology,15,9,672,0.9842581416872572,1.0,0.015741858312742774,0.016966666077873387
logit_pca_controls_dynamic_topology,16,0,7598,0.01850827541659568,0.04356409581468808,0.0250558203980924,0.03569335539186816
logit_pca_controls_dynamic_topology,16,1,367,0.13770650544858895,0.013623978201634877,0.12408252724695407,0.03569335539186816
logit_pca_controls_dynamic_topology,16,2,91,0.24152784430441088,0.0,0.24152784430441088,0.03569335539186816
logit_pca_controls_dynamic_topology,16,3,46,0.3623781581106881,0.3695652173913043,0.007187059280616248,0.03569335539186816
logit_pca_controls_dynamic_topology,16,4,81,0.4488752537071808,0.6296296296296297,0.18075437592244886,0.03569335539186816
logit_pca_controls_dynamic_topology,16,5,119,0.558434611309262,0.8235294117647058,0.26509480045544387,0.03569335539186816
logit_pca_controls_dynamic_topology,16,6,147,0.6438065678645875,0.6870748299319728,0.04326826206738532,0.03569335539186816
logit_pca_controls_dynamic_topology,16,7,83,0.7388210298888603,0.7228915662650602,0.0159294636238001,0.03569335539186816
logit_pca_controls_dynamic_topology,16,8,10,0.8278894306207756,0.9,0.07211056937922444,0.03569335539186816
logit_pca_controls_dynamic_topology,16,9,422,0.9830755523996002,1.0,0.016924447600399795,0.03569335539186816
logit_pca_controls_dynamic_topology,17,0,5888,0.006241604072864769,0.057065217391304345,0.05082361331843958,0.04950608392401627
logit_pca_controls_dynamic_topology,17,8,61,0.865910167073642,1.0,0.134089832926358,0.04950608392401627
logit_pca_controls_dynamic_topology,17,9,611,0.9716350318918713,1.0,0.02836496810812872,0.04950608392401627
logit_pca_controls_static_dynamic_topology,1,0,12684,0.015234885287442584,0.021602018290760014,0.00636713300331743,0.025052936851500927
logit_pca_controls_static_dynamic_topology,1,1,409,0.14128779720427748,0.004889975550122249,0.13639782165415523,0.025052936851500927
logit_pca_controls_static_dynamic_topology,1,2,249,0.24733594508931842,0.004016064257028112,0.2433198808322903,0.025052936851500927
logit_pca_controls_static_dynamic_topology,1,3,255,0.35161246507404764,0.06274509803921569,0.28886736703483196,0.025052936851500927
logit_pca_controls_static_dynamic_topology,1,4,169,0.4437674098015074,0.2485207100591716,0.19524669974233583,0.025052936851500927
logit_pca_controls_static_dynamic_topology,1,5,32,0.5431656577592245,0.21875,0.32441565775922454,0.025052936851500927
